radius in um, AP_vert, HTPB_vert, Interface_vert
733, 53.46221923828125, 43.5511589050293, 2.986621856689453
736, 53.42569351196289, 43.55487823486328, 3.019428253173828
738, 53.45630645751953, 43.57500076293945, 2.9686927795410156
741, 53.44066619873047, 43.544960021972656, 3.014373779296875
743, 53.412723541259766, 43.54877471923828, 3.038501739501953
746, 53.42893600463867, 43.53199005126953, 3.039073944091797
748, 53.496456146240234, 43.57156753540039, 2.931976318359375
751, 53.50780487060547, 43.60847473144531, 2.8837203979492188
753, 53.50360870361328, 43.590354919433594, 2.906036376953125
756, 53.45954895019531, 43.581390380859375, 2.9590606689453125
758, 53.45745086669922, 43.56861114501953, 2.97393798828125
761, 53.52802276611328, 43.59569549560547, 2.87628173828125
763, 53.45029830932617, 43.54372024536133, 3.0059814453125
766, 53.48033905029297, 43.57614517211914, 2.9435157775878906
